Date,Fragment.ID,Chamber.Channel,Position,RUN,Origin,Treatment,Timepoint,Chamber.Vol.mL,Surf.Area.cm2
20170727,AMB-B1,,,,Blank,Ambient,T2,21005,
20170727,AMB-B2,,,,Blank,Ambient,T2,21005,
20170727,HOT-B1,,,,Blank,Hot,T2,21005,
20170727,HOT-B2,,,,Blank,Hot,T2,21005,
20170728,AMB-B1.1,,,,Blank,Ambient,T2,21005,
20170728,AMB-B2.1,,,,Blank,Ambient,T2,21005,
20170728,HOT-B1.1,,,,Blank,Hot,T2,21005,
20170728,HOT-B2.1,,,,Blank,Hot,T2,21005,
20170728,AMB-B3,,,,Blank,Ambient,T2,21005,
20170728,AMB-B4,,,,Blank,Ambient,T2,21005,
20170728,AMB-B5,,,,Blank,Ambient,T2,21005,
20170728,AMB-B6,,,,Blank,Ambient,T2,21005,
20170728,AMB-B7,,,,Blank,Ambient,T2,21005,
20170728,HOT-B3,,,,Blank,Hot,T2,21005,
20170728,HOT-B4,,,,Blank,Hot,T2,21005,
,P-1,,,,Patch,Ambient,T2,20143,185.015873
,P-2,,,,Patch,Ambient,T2,19893,414.5396825
,P-3,,,,Patch,Ambient,T2,20185,334.9365079
,P-4,,,,Patch,Ambient,T2,20585,422.5555556
,P-5,,,,Patch,Ambient,T2,20301,245.5714286
,P-6,,,,Patch,Ambient,T2,20063,312.7936508
,P-7,,,,Patch,Ambient,T2,19735,463.8253968
,P-8,,,,Patch,Ambient,T2,20213,298.5079365
,P-9,,,,Patch,Ambient,T2,20269,211.1269841
,P-10,,,,Patch,Ambient,T2,20465,233.1904762
,R-1,,,,Rim,Ambient,T2,20271,272.3174603
,R-2,,,,Rim,Ambient,T2,20609,182.952381
,R-3,,,,Rim,Ambient,T2,20631,222.3968254
,R-4,,,,Rim,Ambient,T2,19963,453.1904762
,R-5,,,,Rim,Ambient,T2,20579,252.7142857
,R-6,,,,Rim,Ambient,T2,20405,176.2063492
,R-7,,,,Rim,Ambient,T2,20243,396.5238095
,R-8,,,,Rim,Ambient,T2,20019,203.984127
,R-9,,,,Rim,Ambient,T2,20727,210.2539683
,R-10,,,,Rim,Ambient,T2,20738,177.7142857
,P-11,,,,Patch,Hot,T2,19315,635.8095238
,P-12,,,,Patch,Hot,T2,19769,560.6507937
,P-13,,,,Patch,Hot,T2,20405,298.5079365
,P-14,,,,Patch,Hot,T2,20031,379.2222222
,P-15,,,,Patch,Hot,T2,19280,664.1428571
,P-16,,,,Patch,Hot,T2,20307,371.9206349
,P-17,,,,Patch,Hot,T2,20165,248.3492063
,P-18,,,,Patch,Hot,T2,20405,357.4761905
,P-19,,,,Patch,Hot,T2,19579,437
,P-20,,,,Patch,Hot,T2,20445,268.1904762
,R-11,,,,Rim,Hot,T2,20171,358.031746
,R-12,,,,Rim,Hot,T2,20577,173.1111111
,R-13,,,,Rim,Hot,T2,20683,167.2380952
,R-14,,,,Rim,Hot,T2,19749,270.6507937
,R-15,,,,Rim,Hot,T2,19605,192.3968254
,R-16,,,,Rim,Hot,T2,20675,190.8095238
,R-17,,,,Rim,Hot,T2,20730,186.6825397
,R-18,,,,Rim,Hot,T2,20685,188.2698413
,R-19,,,,Rim,Hot,T2,20405,190.4920635
,R-20,,,,Rim,Hot,T2,20191,246.3650794
,,,,,,,,, 