"","coral.id.x","treatment","reef.zone","timepoint","Cells.mL","coral.tp","homo.vol","Surface.Area","Cells.mL.vol","Cells.cm2","Cells.cm2.x6"
"1","P1","Ambient","Patch","Post-Treatment",918055.555555556,"P1 Post-Treatment",15.5,9.08182444123215,14229861.1111111,1566850.49388386,1.56685049388386
"2","P1","Ambient","Patch","Pre-Treatment",498055.555555556,"P1 Pre-Treatment",18,11.4632710563235,8965000,782062.986729658,0.782062986729658
"3","P10","Ambient","Patch","Post-Treatment",591666.666666667,"P10 Post-Treatment",13,7.00173357796121,7691666.66666667,1098537.46661785,1.09853746661785
"4","P10","Ambient","Patch","Pre-Treatment",419722.222222222,"P10 Pre-Treatment",12.5,6.50192394154985,5246527.77777778,806919.278807678,0.806919278807678
"5","P11","Hot","Patch","Post-Treatment",398888.888888889,"P11 Post-Treatment",17,21.4741670123557,6781111.11111111,315779.937224547,0.315779937224547
"6","P11","Hot","Patch","Pre-Treatment",202222.222222222,"P11 Pre-Treatment",25,11.8454784642565,5055555.55555556,426792.009357038,0.426792009357038
"7","P12","Hot","Patch","Post-Treatment",466388.888888889,"P12 Post-Treatment",19.5,13.3743083164927,9094583.33333333,680004.013524814,0.680004013524814
"8","P12","Hot","Patch","Pre-Treatment",276111.111111111,"P12 Pre-Treatment",10,6.34022062932472,2761111.11111111,435491.329487881,0.435491329487881
"9","P13","Hot","Patch","Post-Treatment",31944.4444444444,"P13 Post-Treatment",20,9.67718609500498,638888.888888889,66020.1098353023,0.0660201098353023
"10","P13","Hot","Patch","Pre-Treatment",529166.666666667,"P13 Pre-Treatment",8,5.26709977076174,4233333.33333333,803731.373541287,0.803731373541287
"11","P14","Hot","Patch","Post-Treatment",215000,"P14 Post-Treatment",14.5,10.8091081780593,3117500,288414.173366125,0.288414173366126
"12","P14","Hot","Patch","Pre-Treatment",404444.444444444,"P14 Pre-Treatment",26,10.3901499772562,10515555.5555556,1012069.66006976,1.01206966006976
"13","P15","Hot","Patch","Post-Treatment",271111.111111111,"P15 Post-Treatment",24,15.1824437094324,6506666.66666667,428565.176409926,0.428565176409926
"14","P15","Hot","Patch","Pre-Treatment",417500,"P15 Pre-Treatment",16,7.72939782146134,6680000,864232.913649806,0.864232913649806
"15","P16","Hot","Patch","Post-Treatment",605555.555555556,"P16 Post-Treatment",22,17.8799466580974,13322222.2222222,745092.951168784,0.745092951168784
"16","P16","Hot","Patch","Pre-Treatment",581944.444444444,"P16 Pre-Treatment",11,5.23034897789161,6401388.88888889,1223893.26523855,1.22389326523855
"17","P17","Hot","Patch","Post-Treatment",61944.4444444444,"P17 Post-Treatment",17.5,9.93444098358296,1084027.77777778,109118.145607707,0.109118145607707
"18","P17","Hot","Patch","Pre-Treatment",472222.222222222,"P17 Pre-Treatment",12.5,6.88413134948283,5902777.77777778,857447.000662069,0.857447000662069
"19","P18","Hot","Patch","Post-Treatment",263055.555555556,"P18 Post-Treatment",17.5,13.5286613378412,4603472.22222222,340275.516347341,0.340275516347341
"20","P18","Hot","Patch","Pre-Treatment",274722.222222222,"P18 Pre-Treatment",20,6.46517314867972,5494444.44444444,849852.636284999,0.849852636284999
"21","P19","Hot","Patch","Post-Treatment",555277.777777778,"P19 Post-Treatment",13,12.8891988208259,7218611.11111111,560051.187933228,0.560051187933228
"22","P19","Hot","Patch","Pre-Treatment",347500,"P19 Pre-Treatment",27,10.8164582484316,9382500,867428.115978765,0.867428115978765
"23","P2","Ambient","Patch","Post-Treatment",1302500,"P2 Post-Treatment",15,12.2570865946873,19537500,1593975.84809985,1.59397584809985
"24","P2","Ambient","Patch","Pre-Treatment",423055.555555556,"P2 Pre-Treatment",15,14.2710259425903,6345833.33333333,444665.5313263,0.4446655313263
"25","P20","Hot","Patch","Post-Treatment",107500,"P20 Post-Treatment",15,8.58936465468877,1612500,187732.162368932,0.187732162368932
"26","P20","Hot","Patch","Pre-Treatment",285000,"P20 Pre-Treatment",16,4.28218041817931,4560000,1064878.06553905,1.06487806553905
"27","P3","Ambient","Patch","Post-Treatment",203611.111111111,"P3 Post-Treatment",14,6.54602480479228,2850555.55555556,435463.604334144,0.435463604334144
"28","P3","Ambient","Patch","Pre-Treatment",386388.888888889,"P3 Pre-Treatment",22.5,16.2482147181274,8693750,535058.783430574,0.535058783430574
"29","P4","Ambient","Patch","Post-Treatment",772777.777777778,"P4 Post-Treatment",16.5,8.2071572467558,12750833.3333333,1553623.6177726,1.5536236177726
"30","P4","Ambient","Patch","Pre-Treatment",352500,"P4 Pre-Treatment",14,7.20018746255215,4935000,685398.82130385,0.68539882130385
"31","P5","Ambient","Patch","Post-Treatment",1158611.11111111,"P5 Post-Treatment",37.5,22.9441956401005,43447916.6666667,1893634.3355934,1.8936343355934
"32","P5","Ambient","Patch","Pre-Treatment",572500,"P5 Pre-Treatment",19,10.24314702628,10877500,1061929.4999957,1.0619294999957
"33","P6","Ambient","Patch","Post-Treatment",824166.666666667,"P6 Post-Treatment",17.5,11.6029237164231,14422916.6666667,1243041.58323924,1.24304158323924
"34","P6","Ambient","Patch","Pre-Treatment",421666.666666667,"P6 Pre-Treatment",30,10.1475952294228,12650000,1246600.76737408,1.24660076737408
"35","P7","Ambient","Patch","Post-Treatment",647500,"P7 Post-Treatment",22,12.4996413425207,14245000,1139632.69902329,1.13963269902329
"36","P7","Ambient","Patch","Pre-Treatment",299444.444444444,"P7 Pre-Treatment",20,7.3986413471431,5988888.88888889,809457.927191109,0.809457927191109
"37","P8","Ambient","Patch","Post-Treatment",988611.111111111,"P8 Post-Treatment",36,17.894646798842,35590000,1988862.94879556,1.98886294879556
"38","P8","Ambient","Patch","Pre-Treatment",305555.555555556,"P8 Pre-Treatment",15,5.00984466167945,4583333.33333333,914865.358678978,0.914865358678978
"39","P9","Ambient","Patch","Post-Treatment",719166.666666667,"P9 Post-Treatment",31,16.5495704699478,22294166.6666667,1347114.51920462,1.34711451920462
"40","P9","Ambient","Patch","Pre-Treatment",241944.444444444,"P9 Pre-Treatment",16,12.0880332120899,3871111.11111111,320243.25572165,0.32024325572165
"41","R1","Ambient","Rim","Post-Treatment",370833.333333333,"R1 Post-Treatment",24,11.2721672421049,8900000,789555.354249523,0.789555354249523
"42","R1","Ambient","Rim","Pre-Treatment",352777.777777778,"R1 Pre-Treatment",19,5.17154775340026,6702777.77777778,1296087.3799088,1.2960873799088
"43","R10","Ambient","Rim","Post-Treatment",663055.555555556,"R10 Post-Treatment",20,10.2725477487778,13261111.1111111,1290927.18139849,1.29092718139849
"44","R10","Ambient","Rim","Pre-Treatment",326666.666666667,"R10 Pre-Treatment",22,13.6683142184451,7186666.66666667,525790.273168319,0.525790273168319
"45","R11","Hot","Rim","Post-Treatment",210000,"R11 Post-Treatment",25,16.2114639252573,5250000,323844.905321632,0.323844905321632
"46","R11","Hot","Rim","Pre-Treatment",563333.333333333,"R11 Pre-Treatment",16,12.5290418445142,9013333.33333333,719395.261440506,0.719395261440506
"47","R12","Hot","Rim","Post-Treatment",413888.888888889,"R12 Post-Treatment",9,9.47873221041404,3725000,392985.044551363,0.392985044551363
"48","R12","Hot","Rim","Pre-Treatment",456111.111111111,"R12 Pre-Treatment",9,4.07637646321607,4105000,1007021.8089625,1.0070218089625
"49","R13","Hot","Rim","Post-Treatment",96111.1111111111,"R13 Post-Treatment",18,8.38356069972553,1730000,206356.232389018,0.206356232389018
"50","R13","Hot","Rim","Pre-Treatment",375277.777777778,"R13 Pre-Treatment",12.5,6.25936919371647,4690972.22222222,749432.103626561,0.749432103626561
"51","R14","Hot","Rim","Post-Treatment",346388.888888889,"R14 Post-Treatment",18.5,12.4040893251592,6408194.44444444,516619.501557983,0.516619501557983
"52","R14","Hot","Rim","Pre-Treatment",640555.555555556,"R14 Pre-Treatment",17.5,7.1266860973162,11209722.2222222,1572922.12244954,1.57292212244954
"53","R15","Hot","Rim","Post-Treatment",253888.888888889,"R15 Post-Treatment",20,9.33907932981012,5077777.77777778,543712.886298078,0.543712886298078
"54","R15","Hot","Rim","Pre-Treatment",318888.888888889,"R15 Pre-Treatment",17.5,5.64195710832242,5580555.55555556,989116.976327897,0.989116976327897
"55","R16","Hot","Rim","Post-Treatment",16388.8888888889,"R16 Post-Treatment",14,9.98589213770201,229444.444444444,22976.85988197,0.02297685988197
"56","R16","Hot","Rim","Pre-Treatment",937777.777777778,"R16 Pre-Treatment",20,14.6826340730211,18755555.5555556,1277397.19332911,1.27739719332911
"57","R17","Hot","Rim","Pre-Treatment",253888.888888889,"R17 Pre-Treatment",12,7.03113430045904,3046666.66666667,433310.833853331,0.433310833853331
"58","R18","Hot","Rim","Post-Treatment",72777.7777777778,"R18 Post-Treatment",22,10.9414107677866,1601111.11111111,146334.978650565,0.146334978650565
"59","R18","Hot","Rim","Pre-Treatment",360000,"R18 Pre-Treatment",12.5,4.87754207195215,4500000,922595.83487282,0.92259583487282
"60","R19","Hot","Rim","Post-Treatment",224444.444444444,"R19 Post-Treatment",18,13.6462637868239,4040000,296051.729844238,0.296051729844238
"61","R19","Hot","Rim","Pre-Treatment",751666.666666667,"R19 Pre-Treatment",20,15.1456931370666,15033333.3333333,992581.40233554,0.99258140233554
"62","R2","Ambient","Rim","Post-Treatment",261111.111111111,"R2 Post-Treatment",20,7.86905070206526,5222222.22222222,663640.688050419,0.663640688050419
"63","R2","Ambient","Rim","Pre-Treatment",373611.111111111,"R2 Pre-Treatment",17.5,8.64816587918012,6538194.44444444,756020.933893591,0.756020933893591
"64","R20","Hot","Rim","Post-Treatment",216944.444444444,"R20 Post-Treatment",17,11.9042796887478,3688055.55555556,309809.215843743,0.309809215843743
"65","R20","Hot","Rim","Pre-Treatment",600555.555555556,"R20 Pre-Treatment",14,10.2798978191501,8407777.77777778,817885.345330494,0.817885345330494
"66","R3","Ambient","Rim","Post-Treatment",628888.888888889,"R3 Post-Treatment",17,8.24390803962593,10691111.1111111,1296849.87504982,1.29684987504982
"67","R3","Ambient","Rim","Pre-Treatment",450833.333333333,"R3 Pre-Treatment",8,6.54602480479228,3606666.66666667,550970.516339361,0.550970516339361
"68","R4","Ambient","Rim","Post-Treatment",567777.777777778,"R4 Post-Treatment",23.5,16.1379625600213,13342777.7777778,826794.443731822,0.826794443731822
"69","R4","Ambient","Rim","Pre-Treatment",438055.555555556,"R4 Pre-Treatment",9,4.75993984347377,3942500,828266.770094891,0.828266770094891
"70","R5","Ambient","Rim","Post-Treatment",657222.222222222,"R5 Post-Treatment",13,6.74447868938323,8543888.88888889,1266797.52170293,1.26679752170293
"71","R5","Ambient","Rim","Pre-Treatment",536944.444444444,"R5 Pre-Treatment",15,7.37659091552188,8054166.66666667,1091854.86343279,1.09185486343279
"72","R6","Ambient","Rim","Post-Treatment",864444.444444444,"R6 Post-Treatment",22.5,19.3499752858423,19450000,1005169.24247603,1.00516924247603
"73","R6","Ambient","Rim","Pre-Treatment",865277.777777778,"R6 Pre-Treatment",12,7.85435034081634,10383333.3333333,1321984.99974909,1.32198499974909
"74","R7","Ambient","Rim","Post-Treatment",990833.333333333,"R7 Post-Treatment",19,11.0810634278862,18825833.3333333,1698919.37320356,1.69891937320356
"75","R7","Ambient","Rim","Pre-Treatment",1318888.88888889,"R7 Pre-Treatment",17,10.49305206499,22421111.1111111,2136757.82529651,2.13675782529651
"76","R8","Ambient","Rim","Post-Treatment",867777.777777778,"R8 Post-Treatment",12.5,10.044693141689,10847222.2222222,1079895.82849499,1.07989582849499
"77","R8","Ambient","Rim","Pre-Treatment",768333.333333333,"R8 Pre-Treatment",17,6.94293257397417,13061666.6666667,1881289.5743261,1.8812895743261
"78","R9","Ambient","Rim","Post-Treatment",766111.111111111,"R9 Post-Treatment",17.5,11.5588228531807,13406944.4444444,1159888.39129542,1.15988839129542
"79","R9","Ambient","Rim","Pre-Treatment",534166.666666667,"R9 Pre-Treatment",14,7.16343689018634,7478333.33333333,1043958.8493588,1.0439588493588
