,coral.id,Timepoint,Mass.1.g,Mass.2.g,Mass.3.g,Mass.g,Std.dev,Weight.avg,Surface.Area
1,R-19-B,20190415,0.0371,0.0371,0.0371,0.0371,0,0.0371,8.307027432
2,R-7-A,20190415,0.0377,0.0377,0.0377,0.0377,0,0.0377,8.441667085
3,R-7-B,20190415,0.0635,0.0635,0.0634,0.063466667,5.77E-05,0.063466667,14.22369216
4,P-12-B,20190415,0.028,0.028,0.028,0.028,0,0.028,6.264992703
5,P-4-B,20190415,0.0093,0.0092,0.0091,0.0092,1.00E-04,0.0092,2.046283594
6,P-14-B,20190415,0.018,0.018,0.0183,0.0181,0.000173205,0.0181,4.043438438
7,R-14-A,20190415,0.0256,0.0254,0.0255,0.0255,1.00E-04,0.0255,5.703994152
8,R-14-B,20190415,0.0211,0.0209,0.0209,0.020966667,0.00011547,0.020966667,4.686716778
9,P-19-A,20190419,0.0379,0.0378,0.0378,0.037833333,5.77E-05,0.037833333,8.471587007
10,R-8-A,20190419,0.0599,0.0596,0.0599,0.0598,0.000173205,0.0598,13.40089428
11,P-6-A,20190419,0.031,0.0309,0.031,0.030966667,5.77E-05,0.030966667,6.930710985
12,R-19-A,20190419,0.0127,0.0126,0.0125,0.0126,1.00E-04,0.0126,2.809241624
13,R-5-B,20190419,0.0134,0.0132,0.0134,0.013333333,0.00011547,0.013333333,2.973801199
14,P-14-A,20190419,0.0289,0.0289,0.0289,0.0289,0,0.0289,6.466952182
15,R-11-A,20190419,0.0326,0.0326,0.0326,0.0326,0,0.0326,7.297230039
16,R-4-A,20190419,0.0178,0.0176,0.0176,0.017666667,0.00011547,0.017666667,3.946198689
17,P-15-B,20190419,0.0215,0.0215,0.0215,0.0215,4.25E-18,0.0215,4.806396469
18,R-11-B,20190419,0.0258,0.0258,0.0257,0.025766667,5.77E-05,0.025766667,5.763833997
19,R-8-B,20190419,0.0258,0.0258,0.0257,0.025766667,5.77E-05,0.025766667,5.763833997
20,P-16-B,20190419,0.0377,0.0376,0.0375,0.0376,1.00E-04,0.0376,8.419227143
21,P-3-B,20190419,0.0136,0.0134,0.0134,0.013466667,0.00011547,0.013466667,3.003721122
22,P-4-A,20190419,0.0298,0.0298,0.0298,0.0298,4.25E-18,0.0298,6.668911661
23,R-18-B,20190419,0.0122,0.0124,0.0124,0.012333333,0.00011547,0.012333333,2.749401779
24,R-5-A,20190419,0.044,0.0439,0.0438,0.0439,1.00E-04,0.0439,9.832943493
25,R-18-A,20190419,0.0174,0.0174,0.0174,0.0174,0,0.0174,3.886358844
26,R-15-A,20190424,0.0292,0.0292,0.0291,0.029166667,5.77E-05,0.029166667,6.526792028
27,R-9-B,20190424,0.0301,0.03,0.0299,0.03,1.00E-04,0.03,6.713791545
28,P-16-A,20190424,0.0571,0.0572,0.0572,0.057166667,5.77E-05,0.057166667,12.80997581
29,R-4-B,20190424,0.0234,0.0232,0.0233,0.0233,1.00E-04,0.0233,5.210315426
30,P-6-B,20190424,0.0299,0.0298,0.0297,0.0298,1.00E-04,0.0298,6.668911661
31,P-15-A,20190424,0.0348,0.0346,0.0348,0.034733333,0.00011547,0.034733333,7.775948803
32,P-3-A,20190424,0.0607,0.0606,0.0606,0.060633333,5.77E-05,0.060633333,13.5878938
33,P-10-B,20190424,0.0212,0.0211,0.0209,0.021066667,0.000152753,0.021066667,4.70915672
34,P-12-A,20190424,0.0723,0.0724,0.0723,0.072333333,5.77E-05,0.072333333,16.21336702
35,P-10-A,20190424,0.0179,0.0178,0.0179,0.017866667,5.77E-05,0.017866667,3.991078573
36,P-9-A,20190424,0.0118,0.0116,0.0116,0.011666667,0.00011547,0.011666667,2.599802165
37,R-9-A,20190424,0.028,0.028,0.028,0.028,0,0.028,6.264992703
38,R-15-B,20190424,0.0184,0.0184,0.0183,0.018366667,5.77E-05,0.018366667,4.103278284
39,P-19-B,20190424,0.0088,0.0087,0.0087,0.008733333,5.77E-05,0.008733333,1.941563864
40,P-9-B,20190424,0.0143,0.0143,0.0142,0.014266667,5.77E-05,0.014266667,3.183240659