"","Fragment.ID","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","umol.sec","Blank","umol.sec.corr"
"6","P-10-A",219.680699859023,0.000718731702042717,NA,"Photo",20180701,3,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.0139862898260212,-0.00359664769099569,0.0175829375170169
"7","P-10-B",231.548956956187,0.00113913843784998,NA,"Photo",20180701,7,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,0.0221672709001835,-0.00359664769099569,0.0257639185911792
"8","P-12-A",220.34860916187,0.00139888091356715,NA,"Photo",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9,NA,18.4354875,0.0257890515960559,-0.00359664769099569,0.0293856992870516
"9","P-12-B",229.462334651443,0.00228137747604767,NA,"Photo",20180701,8,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.25,NA,18.947584375,0.0432265922186378,-0.00359664769099569,0.0468232399096335
"10","P-14-A",233.482896294702,0.00140306395956782,NA,"Photo",20180701,9,NA,NA,"Patch","Hot","Patch","Post-transplant",9.5,NA,19.45968125,0.0273031774265526,-0.00359664769099569,0.0308998251175483
"11","P-14-B",234.144952545101,0.0018917989984912,NA,"Photo",20180701,2,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,0.036571609410894,-0.00359664769099569,0.0401682571018897
"12","P-15-A",217.540683519978,0.001225068346125,NA,"Photo",20180701,6,NA,NA,"Patch","Hot","Patch","Post-transplant",9.3125,NA,19.07560859375,0.0233689242712732,-0.00359664769099569,0.0269655719622689
"13","P-15-B",226.359484924967,0.00161513193834748,NA,"Photo",20180701,4,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,0.0310164006877664,-0.00359664769099569,0.0346130483787621
"14","P-16-A",220.699923586796,0.000562893549692126,NA,"Photo",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9.375,NA,19.2036328125,0.0108096010408123,-0.00359664769099569,0.014406248731808
"15","P-16-B",235.385424517752,0.00147590461582634,NA,"Photo",20180701,7,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.5,NA,19.45968125,0.0287206333793843,-0.00359664769099569,0.03231728107038
"16","P-19-A",207.766242322148,0.000805194630872469,NA,"Photo",20180701,10,NA,NA,"Patch","Hot","Patch","Post-transplant",9.25,NA,18.947584375,0.0152564932067531,-0.00359664769099569,0.0188531408977488
"17","P-19-B",225.624555239492,0.00116615977291159,NA,"Photo",20180701,1,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.3125,NA,19.07560859375,0.0222452073858379,-0.00359664769099569,0.0258418550768336
"18","P-3-A",229.174755570744,0.000548112223299492,NA,"Photo",20180701,4,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,0.0105959175154617,-0.00359664769099569,0.0141925652064574
"19","P-3-B",199.34916193477,0.000396504368083873,NA,"Photo",20180701,5,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.4375,NA,19.33165703125,0.00766508645518994,-0.00359664769099569,0.0112617341461856
"20","P-4-A",197.981170944042,0.00171784481607138,NA,"Photo",20180701,5,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.033428712557714,-0.00359664769099569,0.0370253602487097
"21","P-4-B",212.03263303613,0.00154921152438616,NA,"Photo",20180701,6,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,0.0301471624533812,-0.00359664769099569,0.0337438101443769
"22","P-6-A",228.439780049738,0.000216412099837232,NA,"Photo",20180630,6,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,0.00416698089746017,-0.00359664769099569,0.00776362858845586
"23","P-6-B",249.44890518251,0.00104534979486058,NA,"Photo",20180630,2,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,0.0203421738027399,-0.00359664769099569,0.0239388214937356
"24","P-9-A",246.165381060197,0.000596605988324642,NA,"Photo",20180630,7,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.0116097623646387,-0.00359664769099569,0.0152064100556344
"25","P-9-B",213.450926075699,7.73660210756876e-05,NA,"Photo",20180701,10,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,0.00150551810971366,-0.00359664769099569,0.00510216580070936
"26","R-11-A",219.230110345625,0.00185360095674705,NA,"Photo",20180630,10,NA,NA,"Rim","Hot","Patch","Post-transplant",9.4375,NA,19.33165703125,0.0358331779686309,-0.00359664769099569,0.0394298256596266
"27","R-11-B",240.260096549741,0.00211260562018627,NA,"Photo",20180630,4,NA,NA,"Rim","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,0.0408401672917322,-0.00359664769099569,0.0444368149827279
"28","R-14-A",230.066702946036,0.00219109249529096,NA,"Photo",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.25,NA,18.947584375,0.0415159099279547,-0.00359664769099569,0.0451125576189504
"29","R-14-B",230.440703139307,0.000939004716125514,NA,"Photo",20180701,4,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,0.0180323017776802,-0.00359664769099569,0.0216289494686759
"30","R-15-A",225.64651694397,0.00141562099714593,NA,"Photo",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.4375,NA,19.33165703125,0.0273662996030613,-0.00359664769099569,0.030962947294057
"31","R-15-B",211.558186390081,0.0014779436811221,NA,"Photo",20180701,10,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,0.0283818877698234,-0.00359664769099569,0.0319785354608191
"32","R-18-A",233.054267922418,0.000766589397298909,NA,"Photo",20180701,8,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5625,NA,19.58770546875,0.0150157273297576,-0.00359664769099569,0.0186123750207533
"33","R-18-B",235.419110107871,0.000447830789568566,NA,"Photo",20180701,2,NA,NA,"Rim","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,0.00865731123197341,-0.00359664769099569,0.0122539589229691
"34","R-19-A",199.030629574797,0.000713611945566176,NA,"Photo",20180701,5,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5,NA,19.45968125,0.0138866609969101,-0.00359664769099569,0.0174833086879058
"35","R-19-B",230.585710374712,0.000942551550615533,NA,"Photo",20180701,7,NA,NA,"Rim","Hot","Rim","Post-transplant",9.5625,NA,19.58770546875,0.0184624221625707,-0.00359664769099569,0.0220590698535664
"36","R-4-A",236.148012573158,0.00157248334229047,NA,"Photo",20180701,8,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.375,NA,19.2036328125,0.0301973927091189,-0.00359664769099569,0.0337940404001146
"37","R-4-B",237.729368515732,0.000505355677154589,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.5625,NA,19.58770546875,0.0098987581610648,-0.00359664769099569,0.0134954058520605
"38","R-5-A",204.222935471058,0.00039316352693789,NA,"Photo",20180701,10,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.00765083691333713,-0.00359664769099569,0.0112474846043328
"39","R-5-B",231.794784026671,0.000142604750256474,NA,"Photo",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.00275678612298522,-0.00359664769099569,0.00635343381398091
"40","R-7-A",232.383686035891,0.00121106015798611,NA,"Photo",20180701,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,0.0234117996183989,-0.00359664769099569,0.0270084473093946
"41","R-7-B",218.26138853267,0.00226294047094623,NA,"Photo",20180701,3,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.0437463890664678,-0.00359664769099569,0.0473430367574635
"42","R-8-A",227.096425031821,-0.000184847844019479,NA,"Photo",20180630,1,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,-0.00355921612305963,-0.00359664769099569,3.74315679360611e-05
"43","R-8-B",228.613515006766,0.00169011990558616,NA,"Photo",20180630,8,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,0.0326728183564803,-0.00359664769099569,0.036269466047476
"44","R-9-A",251.970929906252,0.00047389333830011,NA,"Photo",20180630,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,0.00922181330981855,-0.00359664769099569,0.0128184610008142
"45","R-9-B",209.691768887577,0.000941945362934981,NA,"Photo",20180630,5,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.45,NA,19.357261875,0.0182334830622743,-0.00359664769099569,0.02183013075327
